"date","country","cum_new_ppl_fully_vaxxed","avg_new_confirmed","avg_new_deceased","cum_deceased"
"2020-04-30","Global",0.0,1.5525650557620818,0.023048327137546468,310
"2020-05-01","Global",0.0,1.5384503243676653,0.02274218237480866,312
"2020-05-02","Global",0.0,1.5138690305976552,0.022447812410637688,314
"2020-05-03","Global",0.0,1.4881111033176686,0.0220242687802483,314
"2020-05-04","Global",0.0,1.4659231722428747,0.021754096103538484,316
"2020-05-05","Global",0.0,1.4421088205474821,0.021628928692125717,320
"2020-05-06","Global",0.0,1.4240573552841211,0.021242697822623474,320
"2020-05-07","Global",0.0,1.4042913976390792,0.02087001891345464,320
"2020-05-08","Global",0.0,1.3825150621715165,0.02102294577618254,328
"2020-05-09","Global",0.0,1.3616029235712936,0.020918656669397014,332
"2020-05-10","Global",0.0,1.3405204460966542,0.02094175960346964,338
"2020-05-11","Global",0.0,1.3212261563775978,0.020964105064293984,344
"2020-05-12","Global",0.0,1.3047127952991966,0.020865811248351122,348
"2020-05-13","Global",0.0,1.2881335929663067,0.020888652858913084,354
"2020-05-14","Global",0.0,1.2692843866171004,0.02079460966542751,358
"2020-05-15","Global",0.0,1.2502144695453246,0.0204746925936517,358
"2020-05-16","Global",0.0,1.231497127407908,0.02027712064886786,360
"2020-05-17","Global",0.0,1.2154469289241525,0.020307385008045277,366
"2020-05-18","Global",0.0,1.1992127706101028,0.020227421823748086,370
"2020-05-19","Global",0.0,1.183880178869673,0.020149776412908788,374
"2020-05-20","Global",0.0,1.1679235262878385,0.019861922464152946,374
"2020-05-21","Global",0.0,1.1521022043038902,0.019582177077333892,374
"2020-05-22","Global",0.0,1.1374432052870715,0.019310202395704256,374
"2020-05-23","Global",0.0,1.1220654886184245,0.019045679075215156,374
"2020-05-24","Global",0.0,1.1075052747915202,0.018788305033658192,374
"2020-05-25","Global",0.0,1.0940272614622057,0.018537794299876086,374
"2020-05-26","Global",0.0,1.0827626687536687,0.018293875953825083,374
"2020-05-27","Global",0.0,1.069956066238594,0.018249408583981074,378
"2020-05-28","Global",0.0,1.060242112286722,0.018110761605185398,380
"2020-05-29","Global",0.0,1.0527504588019387,0.017881511458284316,380
"2020-05-30","Global",0.0,1.0406133828996282,0.017657992565055763,380
"2020-05-31","Global",0.0,1.0321721969801276,0.017439992656845198,380
"2020-06-01","Global",0.0,1.0239368936440294,0.017317979871248525,382
"2020-06-02","Global",0.0,1.0169749630492229,0.017109329511353966,382
"2020-06-03","Global",0.0,1.008762612851832,0.01690564701717118,382
"2020-06-04","Global",0.0,1.0047671113054888,0.016706757052263283,382
"2020-06-05","Global",0.0,1.000345811359903,0.016512492435376502,382
"2020-06-06","Global",0.0,0.9920095714224672,0.016493611930094434,386
"2020-06-07","Global",0.0,0.9863974315647178,0.016475160527205136,390
"2020-06-08","Global",0.0,0.9840858777828829,0.016290046363978114,390
"2020-06-09","Global",0.0,0.9860388269310202,0.016191656340355225,392
"2020-06-10","Global",0.0,0.9891743943788553,0.01609542873483394,394
"2020-06-11","Global",0.0,0.9911103927590108,0.015920478422498788,394
"2020-06-12","Global",0.0,0.9917256265739297,0.01574929048247192,394
"2020-06-13","Global",0.0,0.9897967254607293,0.01566083999050858,396
"2020-06-14","Global",0.0,0.9872823322246136,0.015574251614165525,398
"2020-06-15","Global",0.0,0.9873760842627014,0.015412019826517968,398
"2020-06-16","Global",0.0,0.991606944391216,0.01525313302418273,398
"2020-06-17","Global",0.0,0.9975722631059859,0.015097488809650254,398
"2020-06-18","Global",0.0,1.0014644587135293,0.01494498892268409,398
"2020-06-19","Global",0.0,1.0040148698884759,0.01486988847583643,400
"2020-06-20","Global",0.0,1.0026868857889506,0.014796275166550112,402
"2020-06-21","Global",0.0,1.0005831328814054,0.014651213645309425,402
"2020-06-22","Global",0.0,1.0075432201248782,0.014508968852636518,402
"2020-06-23","Global",0.0,1.0211609951386904,0.014369459536745783,402
"2020-06-24","Global",0.0,1.0372809346787042,0.014445034519383962,408
"2020-06-25","Global",0.0,1.0571649014519184,0.014519183558953496,414
"2020-06-26","Global",0.0,1.0660459298891707,0.014591946635166591,420
"2020-06-27","Global",0.0,1.0801321767864518,0.01459452017072835,424
"2020-06-28","Global",0.0,1.0906858565533235,0.014528835987858531,426
"2020-06-29","Global",0.0,1.121189591078067,0.01439675566069618,426
"2020-06-30","Global",0.0,1.153755986469741,0.014334036638869353,428
"2020-07-01","Global",0.0,1.1915161975570898,0.014272437599575145,430
"2020-07-02","Global",0.0,1.241898871599171,0.014146132842056782,430
"2020-07-03","Global",0.0,1.2855931650688057,0.014087262766581883,432
"2020-07-04","Global",0.0,1.3225796023921124,0.014223371585582673,440
"2020-07-05","Global",0.0,1.3586719651326753,0.014164850660171773,442
"2020-07-06","Global",0.0,1.416325104057446,0.01436151622025228,452
"2020-07-07","Global",0.0,1.4859177115493667,0.014365824459706383,456
"2020-07-08","Global",0.0,1.551466683327606,0.014370060291774702,460
"2020-07-09","Global",0.0,1.6227385377942998,0.014436183395291203,466
"2020-07-10","Global",0.0,1.6922178868782451,0.014378321914651757,468
"2020-07-11","Global",0.0,1.7467853007495886,0.01432140898287525,470
"2020-07-12","Global",0.0,1.8008281198053617,0.014446761567987427,478
"2020-07-13","Global",0.0,1.8874565295598993,0.014450173881760403,482
"2020-07-14","Global",0.0,1.9617546468401486,0.01475092936802974,496
"2020-07-15","Global",0.0,2.0558210892783384,0.014810880981884699,502
"2020-07-16","Global",0.0,2.15484588589995,0.015162602815911952,518
"2020-07-17","Global",0.0,2.2413452602230484,0.015508828996282528,534
"2020-07-18","Global",0.0,2.307138122820668,0.015676781648943833,544
"2020-07-19","Global",0.0,2.3461824420932227,0.015899342293394337,556
"2020-07-20","Global",0.0,2.438207667640966,0.01628877096398876,574
"2020-07-21","Global",0.0,2.531316886335474,0.016446997859637266,584
"2020-07-22","Global",0.0,2.6264918802582664,0.01643513989434553,588
"2020-07-23","Global",0.0,2.7114797758419797,0.01692282084003773,610
"2020-07-24","Global",0.0,2.7861765110835743,0.01690761393363624,614
"2020-07-25","Global",0.0,2.8245681172097092,0.01694729936584299,620
"2020-07-26","Global",0.0,2.857352182997314,0.0173120234444957,638
"2020-07-27","Global",0.0,2.951457356823447,0.01734820322180917,644
"2020-07-28","Global",0.0,3.0425503463400285,0.01743735123425423,652
"2020-07-29","Global",0.0,3.126128518321827,0.017896972915560277,674
"2020-07-30","Global",0.0,3.1964987212950513,0.018244614938437608,692
"2020-07-31","Global",0.0,3.2434682444107024,0.018377925545840095,702
"2020-08-01","Global",0.0,3.2552577533990172,0.01856136428627135,714
"2020-08-02","Global",0.0,3.2661606774060306,0.0187938868236266,728
"2020-08-03","Global",0.0,3.3369568004102037,0.019023202153570055,742
"2020-08-04","Global",0.0,3.3983296837602484,0.019300300453226053,758
"2020-08-05","Global",0.0,3.4570467592241356,0.019320739448195637,764
"2020-08-06","Global",0.0,3.5152717773535618,0.01959208278910881,780
"2020-08-07","Global",0.0,3.5757590878471097,0.019710087073675806,790
"2020-08-08","Global",0.0,3.588550185873606,0.019776951672862454,798
"2020-08-09","Global",0.0,3.611413377975824,0.019941406730840248,810
"2020-08-10","Global",0.0,3.668655840344355,0.02005478379964782,820
"2020-08-11","Global",0.0,3.733654056418106,0.020118084408484584,828
"2020-08-12","Global",0.0,3.7844348959590595,0.020470236083618983,848
"2020-08-13","Global",0.0,3.838781628492625,0.02067394171963065,862
"2020-08-14","Global",0.0,3.8807549327995425,0.02087503574492422,876
"2020-08-15","Global",0.0,3.890228020742074,0.02093149906471243,884
"2020-08-16","Global",0.0,3.9184508964284035,0.02117547409533669,900
"2020-08-17","Global",0.0,3.9703069837039116,0.021182576979729254,906
"2020-08-18","Global",0.0,4.020446096654275,0.02142193308550186,922
"2020-08-19","Global",0.0,4.06783809369877,0.02165831582350089,938
"2020-08-20","Global",0.0,4.107118270687044,0.02184588553857451,952
"2020-08-21","Global",0.0,4.146737519100508,0.022031153784751522,966
"2020-08-22","Global",0.0,4.152008341644755,0.022304832713754646,984
"2020-08-23","Global",0.0,4.168300101385603,0.022620254590514813,1004
"2020-08-24","Global",0.0,4.224660724683119,0.022842298562278856,1020
"2020-08-25","Global",0.0,4.281414865436413,0.023106203948979366,1038
"2020-08-26","Global",0.0,4.340015932023367,0.023189945123030624,1048
"2020-08-27","Global",0.0,4.404390576538131,0.023360682783044807,1062
"2020-08-28","Global",0.0,4.457642685326919,0.02344194183249508,1072
"2020-08-29","Global",0.0,4.469053675079893,0.023435292071566773,1078
"2020-08-30","Global",0.0,4.4873346589435466,0.023644851733379442,1094
"2020-08-31","Global",0.0,4.5519479124137785,0.02393794185271934,1114
"2020-09-01","Global",0.0,4.61812588129727,0.023971285732598383,1122
"2020-09-02","Global",0.0,4.721444503451939,0.024004248539564524,1130
"2020-09-03","Global",0.0,4.803945589726259,0.024079080770530583,1140
"2020-09-04","Global",0.0,4.88370823094533,0.024195072774242328,1152
"2020-09-05","Global",0.0,4.914706988012196,0.024393300196315942,1168
"2020-09-06","Global",0.0,4.97576374322444,0.024506240784199704,1180
"2020-09-07","Global",0.0,5.08124741842214,0.024576621230896323,1190
"2020-09-08","Global",0.0,5.189057076547064,0.02460514695311056,1198
"2020-09-09","Global",0.0,5.315903427427591,0.02463335920584991,1206
"2020-09-10","Global",0.0,5.446685761878644,0.024742519349137668,1218
"2020-09-11","Global",0.0,5.568207531921772,0.024971714886051398,1236
"2020-09-12","Global",0.0,5.640550587762483,0.025037677082286748,1246
"2020-09-13","Global",0.0,5.733021545349162,0.025102930007594837,1256
"2020-09-14","Global",0.0,5.882392700236567,0.025207244100749458,1268
"2020-09-15","Global",0.0,6.052875108755833,0.025231353318041605,1276
"2020-09-16","Global",0.0,6.187565154107905,0.02541256072854586,1292
"2020-09-17","Global",0.0,6.349755429465858,0.025435335550772844,1300
"2020-09-18","Global",0.0,6.510714494248623,0.025535724712431148,1312
"2020-09-19","Global",0.0,6.6134990706319705,0.025635068153655516,1324
"2020-09-20","Global",0.0,6.670069534063987,0.025694859102028237,1334
"2020-09-21","Global",0.0,6.773425823017668,0.025907331468209865,1352
"2020-09-22","Global",0.0,6.984424745019541,0.026498903822323897,1390
"2020-09-23","Global",0.0,7.198581291252561,0.026818906001062136,1414
"2020-09-24","Global",0.0,7.451663427245108,0.02717340026041175,1440
"2020-09-25","Global",0.0,7.705831549697721,0.027374112875971614,1458
"2020-09-26","Global",0.0,7.870430218004521,0.02749808522164727,1472
"2020-09-27","Global",0.0,7.946468401486989,0.02754646840148699,1482
"2020-09-28","Global",0.0,7.945144167637649,0.027631359928979637,1494
"2020-09-29","Global",0.0,8.078030107843498,0.028009864183444366,1522
"2020-09-30","Global",0.0,8.35054113941436,0.02827476330873331,1544
"2020-10-01","Global",0.0,8.572490706319703,0.028755740214301335,1578
"2020-10-02","Global",0.0,8.770115150965637,0.02883307643485357,1590
"2020-10-03","Global",0.0,8.814126394052044,0.02963150106471289,1642
"2020-10-04","Global",0.0,8.87013989907153,0.02991936497674335,1666
"2020-10-05","Global",0.0,9.018980554761225,0.03006148126965971,1682
"2020-10-06","Global",0.0,9.133242027000588,0.03030895928567617,1704
"2020-10-07","Global",0.0,9.227721720658524,0.030412462382722605,1718
"2020-10-08","Global",0.0,9.30724642787928,0.030867351433252876,1752
"2020-10-09","Global",0.0,9.360524654555658,0.031072455635828014,1772
"2020-10-10","Global",0.0,9.346632458942004,0.031764315758242144,1820
"2020-10-11","Global",0.0,9.356634124309489,0.03192856894694785,1838
"2020-10-12","Global",0.0,9.414714273363881,0.03195296965505317,1848
"2020-10-13","Global",0.0,9.445614759741154,0.0322180916976456,1872
"2020-10-14","Global",0.0,9.469035341681941,0.032377982971579324,1890
"2020-10-15","Global",0.0,9.476620851949114,0.03246819685549606,1904
"2020-10-16","Global",0.0,9.479893398516406,0.03327052672675731,1960
"2020-10-17","Global",0.0,9.449138222372422,0.033389658668469074,1976
"2020-10-18","Global",0.0,9.435516156705749,0.033574997056300356,1996
"2020-10-19","Global",0.0,9.439599450751867,0.033624702769684184,2008
"2020-10-20","Global",0.0,9.434110723990198,0.03357394102055445,2014
"2020-10-21","Global",0.0,9.428206319702602,0.03359001593202337,2024
